,,,,target,x,y,z
-179.779,0.315477,179.75, ,0,0.221000000000004,,
-179.779,0.315848,179.75, ,0,0.221000000000004,,
-179.779,0.316216,179.75, ,0,0.221000000000004,,
-179.779,0.316581,179.75, ,0,0.221000000000004,,
-179.779,0.316943,179.75, ,0,0.221000000000004,,
-179.779,0.317302,179.75, ,0,0.221000000000004,,
-179.778,0.317658,179.75, ,0,0.222000000000008,,
-179.778,0.318011,179.75, ,0,0.222000000000008,,
-179.778,0.318362,179.75, ,0,0.222000000000008,,
-179.778,0.318709,179.75, ,0,0.222000000000008,,
-179.778,0.319054,179.75, ,0,0.222000000000008,,
-179.778,0.319396,179.75, ,0,0.222000000000008,,
-179.777,0.319735,179.75, ,0,0.223000000000013,,
-179.777,0.320071,179.75, ,0,0.223000000000013,,
-179.777,0.320405,179.75, ,0,0.223000000000013,,
-179.777,0.320735,179.75, ,0,0.223000000000013,,
-179.777,0.321064,179.75, ,0,0.223000000000013,,
-179.777,0.321389,179.75, ,0,0.223000000000013,,
-179.776,0.321712,179.75, ,0,0.22399999999999,,
-179.776,0.322032,179.75, ,0,0.22399999999999,,
-179.776,0.32235,179.75, ,0,0.22399999999999,,
-179.776,0.322665,179.75, ,0,0.22399999999999,,
-179.776,0.322977,179.75, ,0,0.22399999999999,,
-179.776,0.323287,179.75, ,0,0.22399999999999,,
-179.775,0.323595,179.75, ,0,0.224999999999994,,
-179.775,0.3239,179.75, ,0,0.224999999999994,,
-179.775,0.324202,179.75, ,0,0.224999999999994,,
-179.775,0.324502,179.75, ,0,0.224999999999994,,
-179.775,0.3248,179.75, ,0,0.224999999999994,,
-179.775,0.325095,179.75, ,45,0.224999999999994,,
-179.774,0.325388,179.75, ,45,0.225999999999999,,
-179.775,0.324512,179.75, ,45,0.224999999999994,,
-179.781,0.31336,179.75, ,45,0.218999999999994,,
-179.785,0.305451,179.75, ,45,0.215000000000003,,
-179.787,0.300385,179.749, ,45,0.212999999999994,,
-179.789,0.297177,179.749, ,45,0.211000000000013,,
-179.79,0.295182,179.749, ,45,0.210000000000008,,
-179.794,0.287856,179.749, ,45,0.205999999999989,,
-179.798,0.278428,179.749, ,45,0.201999999999998,,
-179.801,0.272322,179.749, ,45,0.199000000000012,,
-179.803,0.268434,179.749, ,45,0.197000000000003,,
-179.804,0.265993,179.749, ,45,0.195999999999998,,
-179.806,0.263694,179.748, ,45,0.193999999999988,,
-179.811,0.253137,179.748, ,45,0.188999999999993,,
-179.815,0.245648,179.748, ,45,0.185000000000002,,
-179.817,0.240851,179.748, ,45,0.182999999999993,,
-179.819,0.237815,179.748, ,45,0.181000000000012,,
-179.82,0.235927,179.748, ,45,0.180000000000007,,
-179.82,0.234788,179.748, ,45,0.180000000000007,,
-179.823,0.230691,179.748, ,45,0.176999999999993,,
-179.827,0.220961,179.747, ,45,0.173000000000002,,
-179.831,0.214529,179.747, ,45,0.169000000000011,,
-179.833,0.210423,179.747, ,45,0.167000000000002,,
-179.834,0.207833,179.747, ,45,0.165999999999997,,
-179.835,0.206234,179.747, ,45,0.164999999999992,,
-179.836,0.204353,179.747, ,45,0.163999999999987,,
-179.841,0.194486,179.747, ,45,0.158999999999992,,
-179.844,0.187527,179.747, ,45,0.156000000000006,,
-179.846,0.18307,179.747, ,45,0.153999999999996,,
-179.848,0.18025,179.746, ,45,0.151999999999987,,
-179.849,0.178498,179.746, ,45,0.15100000000001,,
-179.852,0.172009,179.746, ,45,0.147999999999996,,
-179.856,0.163659,179.746, ,45,0.144000000000005,,
-179.859,0.158252,179.746, ,45,0.140999999999991,,
-179.861,0.154809,179.746, ,45,0.13900000000001,,
-179.862,0.152649,179.746, ,45,0.138000000000005,,
-179.862,0.15135,179.746, ,45,0.138000000000005,,
-179.883,0.151487,179.712, ,45,0.11699999999999,,
-179.96,0.14638,179.578, ,45,0.039999999999992,,
179.938,0.132978,179.39, ,45,359.938,,
179.886,0.117321,179.285, ,45,359.886,,
179.952,0.108726,179.395, ,45,359.952,,
