----------環境----------
シーン数,      1130
ターゲット数,  4
インターバル,  1
フレームレート,30Fps
スケール,      1.000
長さ単位,      cm
----------2Dオブジェクト----------
1,｢｣
2,｢｣
3,｢｣
4,｢｣
----------データ----------
シーン,   1X, 1Y, レベル,   2X, 2Y, レベル,   3X, 3Y, レベル,   4X, 4Y, レベル
192,  334.961, 119.656, 0,  371.338, 115.904, 0,  373.583, 72.067, 0,  412.446, 60.777, 0
193,  332.072, 119.641, 0,  368.434, 115.986, 0,  370.268, 72.104, 0,  409.033, 60.767, 0
194,  329.467, 119.684, 0,  365.645, 115.573, 0,  367.752, 71.812, 0,  406.644, 60.449, 0
195,  326.589, 119.285, 0,  362.817, 115.317, 0,  364.951, 71.128, 0,  403.500, 59.868, 0
196,  323.855, 118.862, 0,  359.740, 114.555, 0,  361.775, 70.444, 0,  399.900, 58.658, 0
197,  321.503, 117.558, 0,  357.356, 113.573, 0,  359.509, 69.466, 0,  397.588, 57.613, 0
198,  319.256, 116.863, 0,  355.209, 112.652, 0,  357.478, 68.621, 0,  395.467, 57.142, 0
199,  316.933, 115.839, 0,  352.457, 112.004, 0,  354.859, 67.834, 0,  392.893, 56.107, 0
200,  314.525, 115.420, 0,  350.309, 111.166, 0,  352.744, 67.018, 0,  390.826, 55.252, 0
201,  312.578, 114.669, 0,  348.284, 110.409, 0,  350.739, 66.168, 0,  388.965, 54.412, 0
202,  310.698, 114.259, 0,  346.384, 109.978, 0,  348.837, 65.650, 0,  386.727, 53.829, 0
203,  308.342, 113.785, 0,  343.987, 109.688, 0,  346.346, 65.264, 0,  384.176, 53.571, 0
204,  306.475, 113.500, 0,  342.117, 109.078, 0,  344.140, 64.848, 0,  382.132, 52.667, 0
205,  305.076, 113.166, 0,  340.526, 108.575, 0,  342.509, 64.182, 0,  380.832, 52.177, 0
206,  303.626, 112.847, 0,  338.888, 108.150, 0,  341.039, 63.734, 0,  379.195, 51.558, 0
207,  302.240, 112.935, 0,  337.450, 108.087, 0,  339.713, 63.529, 0,  377.570, 51.570, 0
208,  300.850, 112.882, 0,  336.099, 108.151, 0,  338.268, 63.643, 0,  375.824, 51.513, 0
209,  299.960, 112.812, 0,  335.360, 108.237, 0,  337.227, 63.810, 0,  374.754, 51.639, 0
210,  299.398, 113.012, 0,  334.470, 108.365, 0,  336.582, 63.715, 0,  374.314, 51.661, 0
211,  298.465, 113.572, 0,  333.634, 108.526, 0,  335.569, 64.287, 0,  373.036, 51.813, 0
212,  297.808, 113.841, 0,  332.613, 108.757, 0,  334.675, 64.401, 0,  371.776, 51.991, 0
213,  298.037, 113.503, 0,  333.110, 108.513, 0,  334.879, 64.061, 0,  372.150, 51.800, 0
214,  298.361, 113.135, 0,  333.430, 108.302, 0,  335.075, 63.906, 0,  372.550, 51.600, 0
215,  298.631, 112.841, 0,  333.570, 107.835, 0,  335.444, 63.394, 0,  372.757, 50.991, 0
216,  299.651, 112.223, 0,  334.779, 107.338, 0,  336.824, 62.943, 0,  374.154, 50.684, 0
217,  300.487, 111.919, 0,  335.709, 107.096, 0,  337.794, 62.581, 0,  375.487, 50.529, 0
218,  301.545, 111.519, 0,  336.735, 106.838, 0,  338.590, 62.280, 0,  376.732, 50.000, 0
219,  303.174, 111.068, 0,  338.559, 106.358, 0,  340.621, 61.941, 0,  378.966, 49.735, 0
220,  305.245, 110.013, 0,  340.683, 105.617, 0,  343.313, 61.031, 0,  381.518, 49.098, 0
221,  307.422, 109.283, 0,  343.293, 104.529, 0,  346.050, 60.000, 0,  384.469, 47.982, 0
222,  309.987, 108.363, 0,  346.116, 103.858, 0,  348.968, 59.487, 0,  387.374, 47.496, 0
223,  312.732, 107.688, 0,  349.022, 103.377, 0,  351.829, 58.810, 0,  390.454, 46.954, 0
224,  316.184, 106.763, 0,  352.162, 102.617, 0,  355.474, 58.083, 0,  394.358, 46.083, 0
225,  319.947, 105.783, 0,  356.014, 101.773, 0,  359.684, 57.452, 0,  398.595, 45.604, 0
